序号,设备名称,设备编码,设备ID,站点名称,站点编码,站点ID,PMS设备编码,温度,主变设备巡视照片路径,主变设备巡视红外照片路径,油温,油位,绕组温度,巡视结果时间,数据来源
26298,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 32.9,Min 14.1,R03:Max 24.9,Min 14.1,R02:Max 33.1,Min 14.2,℃",,D:/upload/getImage.jpg,,6.378,,2025-10-20 16:30:00,local
26299,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 34.9,Min 18.3,R03:Max 26.9,Min 18.3,R02:Max 35.1,Min 18.4,℃",,D:/upload/getImage.jpg,,6.312,,2025-10-20 17:00:00,local
26300,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 39.9,Min 11.5,R03:Max 31.9,Min 11.5,R02:Max 40.1,Min 11.6,℃",,D:/upload/getImage.jpg,,6.133,,2025-10-20 17:30:00,local
26301,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 37.8,Min 13.6,R03:Max 29.8,Min 13.6,R02:Max 38.0,Min 13.7,℃",,D:/upload/getImage.jpg,,6.029,,2025-10-20 18:00:00,local
26302,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 37.5,Min 15.7,R03:Max 29.5,Min 15.7,R02:Max 37.7,Min 15.8,℃",,D:/upload/getImage.jpg,,6.181,,2025-10-20 18:30:00,local
26303,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 37.0,Min 18.7,R03:Max 29.0,Min 18.7,R02:Max 37.2,Min 18.8,℃",,D:/upload/getImage.jpg,,6.08,,2025-10-20 19:00:00,local
26304,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 31.1,Min 19.4,R03:Max 23.1,Min 19.4,R02:Max 31.3,Min 19.5,℃",,D:/upload/getImage.jpg,,6.135,,2025-10-20 19:30:00,local
26305,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 34.0,Min 11.3,R03:Max 26.0,Min 11.3,R02:Max 34.2,Min 11.4,℃",,D:/upload/getImage.jpg,,5.581,,2025-10-20 20:00:00,local
26306,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 38.8,Min 11.8,R03:Max 30.8,Min 11.8,R02:Max 39.0,Min 11.9,℃",,D:/upload/getImage.jpg,,5.569,,2025-10-20 20:30:00,local
26307,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 30.2,Min 19.6,R03:Max 22.2,Min 19.6,R02:Max 30.4,Min 19.7,℃",,D:/upload/getImage.jpg,,5.714,,2025-10-20 21:00:00,local
26308,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 30.0,Min 16.8,R03:Max 22.0,Min 16.8,R02:Max 30.2,Min 16.9,℃",,D:/upload/getImage.jpg,,5.755,,2025-10-20 21:30:00,local
26309,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 37.8,Min 10.0,R03:Max 29.8,Min 10.0,R02:Max 38.0,Min 10.1,℃",,D:/upload/getImage.jpg,,5.976,,2025-10-20 22:00:00,local
26310,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 21.2,Min 12.3,R03:Max 13.2,Min 12.3,R02:Max 21.4,Min 12.4,℃",,D:/upload/getImage.jpg,,5.687,,2025-10-20 22:30:00,local
26311,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 20.1,Min 12.4,R03:Max 12.1,Min 12.4,R02:Max 20.3,Min 12.5,℃",,D:/upload/getImage.jpg,,6.358,,2025-10-20 23:00:00,local
26312,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 29.4,Min 11.4,R03:Max 21.4,Min 11.4,R02:Max 29.6,Min 11.5,℃",,D:/upload/getImage.jpg,,6.419,,2025-10-20 23:30:00,local
26313,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 36.6,Min 18.2,R03:Max 28.6,Min 18.2,R02:Max 36.8,Min 18.3,℃",,D:/upload/getImage.jpg,,5.626,,2025-10-21 00:00:00,local
26314,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 26.3,Min 16.1,R03:Max 18.3,Min 16.1,R02:Max 26.5,Min 16.2,℃",,D:/upload/getImage.jpg,,5.537,,2025-10-21 00:30:00,local
26315,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 28.1,Min 11.1,R03:Max 20.1,Min 11.1,R02:Max 28.3,Min 11.2,℃",,D:/upload/getImage.jpg,,5.674,,2025-10-21 01:00:00,local
26316,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 28.8,Min 14.9,R03:Max 20.8,Min 14.9,R02:Max 29.0,Min 15.0,℃",,D:/upload/getImage.jpg,,5.962,,2025-10-21 01:30:00,local
26317,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 39.1,Min 19.5,R03:Max 31.1,Min 19.5,R02:Max 39.3,Min 19.6,℃",,D:/upload/getImage.jpg,,6.251,,2025-10-21 02:00:00,local
26318,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 26.5,Min 16.6,R03:Max 18.5,Min 16.6,R02:Max 26.7,Min 16.7,℃",,D:/upload/getImage.jpg,,5.871,,2025-10-21 02:30:00,local
26319,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 25.7,Min 15.1,R03:Max 17.7,Min 15.1,R02:Max 25.9,Min 15.2,℃",,D:/upload/getImage.jpg,,5.72,,2025-10-21 03:00:00,local
26320,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 28.8,Min 13.0,R03:Max 20.8,Min 13.0,R02:Max 29.0,Min 13.1,℃",,D:/upload/getImage.jpg,,5.795,,2025-10-21 03:30:00,local
26321,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 27.0,Min 12.7,R03:Max 19.0,Min 12.7,R02:Max 27.2,Min 12.8,℃",,D:/upload/getImage.jpg,,6.053,,2025-10-21 04:00:00,local
26322,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 30.1,Min 17.5,R03:Max 22.1,Min 17.5,R02:Max 30.3,Min 17.6,℃",,D:/upload/getImage.jpg,,6.391,,2025-10-21 04:30:00,local
26323,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 21.2,Min 10.8,R03:Max 13.2,Min 10.8,R02:Max 21.4,Min 10.9,℃",,D:/upload/getImage.jpg,,6.138,,2025-10-21 05:00:00,local
26324,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 21.9,Min 12.8,R03:Max 13.9,Min 12.8,R02:Max 22.1,Min 12.9,℃",,D:/upload/getImage.jpg,,5.738,,2025-10-21 05:30:00,local
26325,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 21.9,Min 11.6,R03:Max 13.9,Min 11.6,R02:Max 22.1,Min 11.7,℃",,D:/upload/getImage.jpg,,5.72,,2025-10-21 06:00:00,local
26326,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 39.2,Min 16.5,R03:Max 31.2,Min 16.5,R02:Max 39.4,Min 16.6,℃",,D:/upload/getImage.jpg,,6.48,,2025-10-21 06:30:00,local
26327,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 37.0,Min 16.3,R03:Max 29.0,Min 16.3,R02:Max 37.2,Min 16.4,℃",,D:/upload/getImage.jpg,,5.758,,2025-10-21 07:00:00,local
26328,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 32.0,Min 12.3,R03:Max 24.0,Min 12.3,R02:Max 32.2,Min 12.4,℃",,D:/upload/getImage.jpg,,6.493,,2025-10-21 07:30:00,local
26329,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 24.3,Min 16.5,R03:Max 16.3,Min 16.5,R02:Max 24.5,Min 16.6,℃",,D:/upload/getImage.jpg,,6.123,,2025-10-21 08:00:00,local
26330,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 24.3,Min 14.9,R03:Max 16.3,Min 14.9,R02:Max 24.5,Min 15.0,℃",,D:/upload/getImage.jpg,,5.673,,2025-10-21 08:30:00,local
26331,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 34.4,Min 19.8,R03:Max 26.4,Min 19.8,R02:Max 34.6,Min 19.9,℃",,D:/upload/getImage.jpg,,6.487,,2025-10-21 09:00:00,local
26332,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 40.0,Min 10.1,R03:Max 32.0,Min 10.1,R02:Max 40.2,Min 10.2,℃",,D:/upload/getImage.jpg,,6.062,,2025-10-21 09:30:00,local
26333,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 29.6,Min 15.9,R03:Max 21.6,Min 15.9,R02:Max 29.8,Min 16.0,℃",,D:/upload/getImage.jpg,,6.324,,2025-10-21 10:00:00,local
26334,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 25.0,Min 12.9,R03:Max 17.0,Min 12.9,R02:Max 25.2,Min 13.0,℃",,D:/upload/getImage.jpg,,6.39,,2025-10-21 10:30:00,local
26335,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 37.5,Min 16.9,R03:Max 29.5,Min 16.9,R02:Max 37.7,Min 17.0,℃",,D:/upload/getImage.jpg,,5.971,,2025-10-21 11:00:00,local
26336,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 27.4,Min 15.7,R03:Max 19.4,Min 15.7,R02:Max 27.6,Min 15.8,℃",,D:/upload/getImage.jpg,,5.93,,2025-10-21 11:30:00,local
26337,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 36.6,Min 10.4,R03:Max 28.6,Min 10.4,R02:Max 36.8,Min 10.5,℃",,D:/upload/getImage.jpg,,6.225,,2025-10-21 12:00:00,local
26338,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 27.3,Min 16.4,R03:Max 19.3,Min 16.4,R02:Max 27.5,Min 16.5,℃",,D:/upload/getImage.jpg,,5.988,,2025-10-21 12:30:00,local
26339,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 28.8,Min 18.0,R03:Max 20.8,Min 18.0,R02:Max 29.0,Min 18.1,℃",,D:/upload/getImage.jpg,,5.756,,2025-10-21 13:00:00,local
26340,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 21.4,Min 17.0,R03:Max 13.4,Min 17.0,R02:Max 21.6,Min 17.1,℃",,D:/upload/getImage.jpg,,6.397,,2025-10-21 13:30:00,local
26341,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 38.6,Min 11.2,R03:Max 30.6,Min 11.2,R02:Max 38.8,Min 11.3,℃",,D:/upload/getImage.jpg,,5.778,,2025-10-21 14:00:00,local
26342,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 23.9,Min 16.3,R03:Max 15.9,Min 16.3,R02:Max 24.1,Min 16.4,℃",,D:/upload/getImage.jpg,,5.908,,2025-10-21 14:30:00,local
26343,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 28.1,Min 14.4,R03:Max 20.1,Min 14.4,R02:Max 28.3,Min 14.5,℃",,D:/upload/getImage.jpg,,6.377,,2025-10-21 15:00:00,local
26344,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 32.1,Min 17.0,R03:Max 24.1,Min 17.0,R02:Max 32.3,Min 17.1,℃",,D:/upload/getImage.jpg,,5.784,,2025-10-21 15:30:00,local
26345,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 35.1,Min 15.5,R03:Max 27.1,Min 15.5,R02:Max 35.3,Min 15.6,℃",,D:/upload/getImage.jpg,,6.328,,2025-10-21 16:00:00,local
26346,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 32.3,Min 17.4,R03:Max 24.3,Min 17.4,R02:Max 32.5,Min 17.5,℃",,D:/upload/getImage.jpg,,6.155,,2025-10-21 16:30:00,local
26347,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 31.2,Min 16.5,R03:Max 23.2,Min 16.5,R02:Max 31.4,Min 16.6,℃",,D:/upload/getImage.jpg,,6.012,,2025-10-21 17:00:00,local
26348,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 22.4,Min 12.9,R03:Max 14.4,Min 12.9,R02:Max 22.6,Min 13.0,℃",,D:/upload/getImage.jpg,,6.287,,2025-10-21 17:30:00,local
26349,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 24.6,Min 18.1,R03:Max 16.6,Min 18.1,R02:Max 24.8,Min 18.2,℃",,D:/upload/getImage.jpg,,5.819,,2025-10-21 18:00:00,local
26350,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 25.9,Min 12.5,R03:Max 17.9,Min 12.5,R02:Max 26.1,Min 12.6,℃",,D:/upload/getImage.jpg,,6.107,,2025-10-21 18:30:00,local
26351,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 31.5,Min 16.5,R03:Max 23.5,Min 16.5,R02:Max 31.7,Min 16.6,℃",,D:/upload/getImage.jpg,,6.392,,2025-10-21 19:00:00,local
26352,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 21.6,Min 18.4,R03:Max 13.6,Min 18.4,R02:Max 21.8,Min 18.5,℃",,D:/upload/getImage.jpg,,6.288,,2025-10-21 19:30:00,local
26353,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 35.4,Min 18.7,R03:Max 27.4,Min 18.7,R02:Max 35.6,Min 18.8,℃",,D:/upload/getImage.jpg,,6.339,,2025-10-21 20:00:00,local
26354,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 20.7,Min 19.9,R03:Max 12.7,Min 19.9,R02:Max 20.9,Min 20.0,℃",,D:/upload/getImage.jpg,,5.955,,2025-10-21 20:30:00,local
26355,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 30.2,Min 14.6,R03:Max 22.2,Min 14.6,R02:Max 30.4,Min 14.7,℃",,D:/upload/getImage.jpg,,5.976,,2025-10-21 21:00:00,local
26356,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 39.7,Min 10.8,R03:Max 31.7,Min 10.8,R02:Max 39.9,Min 10.9,℃",,D:/upload/getImage.jpg,,5.792,,2025-10-21 21:30:00,local
26357,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 20.6,Min 13.9,R03:Max 12.6,Min 13.9,R02:Max 20.8,Min 14.0,℃",,D:/upload/getImage.jpg,,5.77,,2025-10-21 22:00:00,local
26358,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 29.4,Min 14.0,R03:Max 21.4,Min 14.0,R02:Max 29.6,Min 14.1,℃",,D:/upload/getImage.jpg,,5.631,,2025-10-21 22:30:00,local
26359,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 35.8,Min 18.9,R03:Max 27.8,Min 18.9,R02:Max 36.0,Min 19.0,℃",,D:/upload/getImage.jpg,,5.688,,2025-10-21 23:00:00,local
26360,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 33.6,Min 18.7,R03:Max 25.6,Min 18.7,R02:Max 33.8,Min 18.8,℃",,D:/upload/getImage.jpg,,6.325,,2025-10-21 23:30:00,local
26361,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 29.5,Min 16.7,R03:Max 21.5,Min 16.7,R02:Max 29.7,Min 16.8,℃",,D:/upload/getImage.jpg,,5.929,,2025-10-22 00:00:00,local
26362,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 39.3,Min 15.1,R03:Max 31.3,Min 15.1,R02:Max 39.5,Min 15.2,℃",,D:/upload/getImage.jpg,,6.157,,2025-10-22 00:30:00,local
26363,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 26.6,Min 12.4,R03:Max 18.6,Min 12.4,R02:Max 26.8,Min 12.5,℃",,D:/upload/getImage.jpg,,6.291,,2025-10-22 01:00:00,local
26364,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 30.3,Min 19.7,R03:Max 22.3,Min 19.7,R02:Max 30.5,Min 19.8,℃",,D:/upload/getImage.jpg,,5.686,,2025-10-22 01:30:00,local
26365,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 26.7,Min 13.8,R03:Max 18.7,Min 13.8,R02:Max 26.9,Min 13.9,℃",,D:/upload/getImage.jpg,,6.297,,2025-10-22 02:00:00,local
26366,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 39.0,Min 14.4,R03:Max 31.0,Min 14.4,R02:Max 39.2,Min 14.5,℃",,D:/upload/getImage.jpg,,6.047,,2025-10-22 02:30:00,local
26367,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 20.6,Min 12.6,R03:Max 12.6,Min 12.6,R02:Max 20.8,Min 12.7,℃",,D:/upload/getImage.jpg,,5.966,,2025-10-22 03:00:00,local
26368,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 33.1,Min 19.5,R03:Max 25.1,Min 19.5,R02:Max 33.3,Min 19.6,℃",,D:/upload/getImage.jpg,,5.739,,2025-10-22 03:30:00,local
26369,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 33.9,Min 15.6,R03:Max 25.9,Min 15.6,R02:Max 34.1,Min 15.7,℃",,D:/upload/getImage.jpg,,6.469,,2025-10-22 04:00:00,local
26370,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 27.4,Min 13.6,R03:Max 19.4,Min 13.6,R02:Max 27.6,Min 13.7,℃",,D:/upload/getImage.jpg,,5.593,,2025-10-22 04:30:00,local
26371,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 36.8,Min 17.9,R03:Max 28.8,Min 17.9,R02:Max 37.0,Min 18.0,℃",,D:/upload/getImage.jpg,,5.519,,2025-10-22 05:00:00,local
26372,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 39.4,Min 11.2,R03:Max 31.4,Min 11.2,R02:Max 39.6,Min 11.3,℃",,D:/upload/getImage.jpg,,6.473,,2025-10-22 05:30:00,local
26373,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 37.1,Min 19.8,R03:Max 29.1,Min 19.8,R02:Max 37.3,Min 19.9,℃",,D:/upload/getImage.jpg,,5.877,,2025-10-22 06:00:00,local
26374,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 34.0,Min 19.3,R03:Max 26.0,Min 19.3,R02:Max 34.2,Min 19.4,℃",,D:/upload/getImage.jpg,,6.135,,2025-10-22 06:30:00,local
26375,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 33.1,Min 15.8,R03:Max 25.1,Min 15.8,R02:Max 33.3,Min 15.9,℃",,D:/upload/getImage.jpg,,5.535,,2025-10-22 07:00:00,local
26376,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 32.5,Min 15.6,R03:Max 24.5,Min 15.6,R02:Max 32.7,Min 15.7,℃",,D:/upload/getImage.jpg,,6.353,,2025-10-22 07:30:00,local
26377,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 27.4,Min 19.9,R03:Max 19.4,Min 19.9,R02:Max 27.6,Min 20.0,℃",,D:/upload/getImage.jpg,,5.904,,2025-10-22 08:00:00,local
26378,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 21.3,Min 14.1,R03:Max 13.3,Min 14.1,R02:Max 21.5,Min 14.2,℃",,D:/upload/getImage.jpg,,6.294,,2025-10-22 08:30:00,local
26379,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 34.3,Min 11.6,R03:Max 26.3,Min 11.6,R02:Max 34.5,Min 11.7,℃",,D:/upload/getImage.jpg,,5.907,,2025-10-22 09:00:00,local
26380,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 24.2,Min 16.6,R03:Max 16.2,Min 16.6,R02:Max 24.4,Min 16.7,℃",,D:/upload/getImage.jpg,,5.561,,2025-10-22 09:30:00,local
26381,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 36.7,Min 14.8,R03:Max 28.7,Min 14.8,R02:Max 36.9,Min 14.9,℃",,D:/upload/getImage.jpg,,6.27,,2025-10-22 10:00:00,local
26382,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 35.0,Min 10.2,R03:Max 27.0,Min 10.2,R02:Max 35.2,Min 10.3,℃",,D:/upload/getImage.jpg,,6.024,,2025-10-22 10:30:00,local
26383,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 37.1,Min 12.7,R03:Max 29.1,Min 12.7,R02:Max 37.3,Min 12.8,℃",,D:/upload/getImage.jpg,,5.889,,2025-10-22 11:00:00,local
26384,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 37.2,Min 18.4,R03:Max 29.2,Min 18.4,R02:Max 37.4,Min 18.5,℃",,D:/upload/getImage.jpg,,5.563,,2025-10-22 11:30:00,local
26385,1号主变压器A相,1_____A_,,500kV长临河变电站,CLH_STATION,1,12M00000044543998,"R01:Max 34.6,Min 15.8,R03:Max 26.6,Min 15.8,R02:Max 34.8,Min 15.9,℃",,D:/upload/getImage.jpg,,6.16,,2025-10-22 12:00:00,local
26386,1号主变压器B相,1_____B_,,500kV长临河变电站,CLH_STATION,1,12M00000044543999,"R01:Max 21.7,Min 16.3,R03:Max 13.7,Min 16.3,R02:Max 21.9,Min 16.4,℃",,D:/upload/getImage.jpg,,6.304,,2025-10-22 12:30:00,local
26387,1号主变压器C相,1_____C_,,500kV长临河变电站,CLH_STATION,1,12M00000044544000,"R01:Max 35.0,Min 16.2,R03:Max 27.0,Min 16.2,R02:Max 35.2,Min 16.3,℃",,D:/upload/getImage.jpg,,5.64,,2025-10-22 13:00:00,local
